Metadata_Well,Metadata_Concentration,Metadata_moa,Metadata_Compound
M22,0.37,adrenergic receptor antagonist,bopindolol
M23,0.12,adrenergic receptor antagonist,bopindolol
M24,0.04,adrenergic receptor antagonist,bopindolol
N01,10.00,calcium channel blocker,cinnarazine
N02,3.33,calcium channel blocker,cinnarazine
N03,1.11,calcium channel blocker,cinnarazine
N04,0.37,calcium channel blocker,cinnarazine
N05,0.12,calcium channel blocker,cinnarazine
N06,0.04,calcium channel blocker,cinnarazine
N07,10.00,mTOR inhibitor|PI3K inhibitor,PF-04691502
N08,3.33,mTOR inhibitor|PI3K inhibitor,PF-04691502
N09,1.11,mTOR inhibitor|PI3K inhibitor,PF-04691502
N10,0.37,mTOR inhibitor|PI3K inhibitor,PF-04691502
N11,0.12,mTOR inhibitor|PI3K inhibitor,PF-04691502
N12,0.04,mTOR inhibitor|PI3K inhibitor,PF-04691502
N13,10.00,adrenergic receptor antagonist,labetalol
N14,3.33,adrenergic receptor antagonist,labetalol
N15,1.11,adrenergic receptor antagonist,labetalol
N16,0.37,adrenergic receptor antagonist,labetalol
N17,0.12,adrenergic receptor antagonist,labetalol
N18,0.04,adrenergic receptor antagonist,labetalol
N19,10.00,local anesthetic,oxybuprocaine
N20,3.33,local anesthetic,oxybuprocaine
N21,1.11,local anesthetic,oxybuprocaine
N22,0.37,local anesthetic,oxybuprocaine
N23,0.12,local anesthetic,oxybuprocaine
N24,0.04,local anesthetic,oxybuprocaine
O01,20.00,proteasome inhibitor,MG-132
O02,20.00,proteasome inhibitor,MG-132
O03,20.00,proteasome inhibitor,MG-132
O04,20.00,proteasome inhibitor,MG-132
O05,20.00,proteasome inhibitor,MG-132
O06,20.00,proteasome inhibitor,MG-132
O07,10.00,CDK inhibitor,roscovitine
O08,3.33,CDK inhibitor,roscovitine
O09,1.11,CDK inhibitor,roscovitine
O10,0.37,CDK inhibitor,roscovitine
O11,0.12,CDK inhibitor,roscovitine
O12,0.04,CDK inhibitor,roscovitine
O13,10.00,polarization inhibitor,acecainide
O14,3.33,polarization inhibitor,acecainide
O15,1.11,polarization inhibitor,acecainide
O16,0.37,polarization inhibitor,acecainide
O17,0.12,polarization inhibitor,acecainide
O18,0.04,polarization inhibitor,acecainide
O19,10.00,GABA receptor antagonist|serotonin receptor antagonist,kakonein
O20,3.33,GABA receptor antagonist|serotonin receptor antagonist,kakonein
O21,1.11,GABA receptor antagonist|serotonin receptor antagonist,kakonein
O22,0.37,GABA receptor antagonist|serotonin receptor antagonist,kakonein
O23,0.12,GABA receptor antagonist|serotonin receptor antagonist,kakonein
O24,0.04,GABA receptor antagonist|serotonin receptor antagonist,kakonein
P01,10.00,CCK receptor antagonist,dexloxiglumide
P02,3.33,CCK receptor antagonist,dexloxiglumide
P03,1.11,CCK receptor antagonist,dexloxiglumide
P04,0.37,CCK receptor antagonist,dexloxiglumide
P05,0.12,CCK receptor antagonist,dexloxiglumide
P06,0.04,CCK receptor antagonist,dexloxiglumide
P07,10.00,dopamine receptor antagonist,isofloxythepin
P08,3.33,dopamine receptor antagonist,isofloxythepin
P09,1.11,dopamine receptor antagonist,isofloxythepin
P10,0.37,dopamine receptor antagonist,isofloxythepin
P11,0.12,dopamine receptor antagonist,isofloxythepin
P12,0.04,dopamine receptor antagonist,isofloxythepin
P13,10.00,RNA polymerase inhibitor,PSI-6130
P14,3.33,RNA polymerase inhibitor,PSI-6130
P15,1.11,RNA polymerase inhibitor,PSI-6130
P16,0.37,RNA polymerase inhibitor,PSI-6130
P17,0.12,RNA polymerase inhibitor,PSI-6130
P18,0.04,RNA polymerase inhibitor,PSI-6130
P19,10.00,topoisomerase inhibitor,etoposide
P20,3.33,topoisomerase inhibitor,etoposide
P21,1.11,topoisomerase inhibitor,etoposide
P22,0.37,topoisomerase inhibitor,etoposide
P23,0.12,topoisomerase inhibitor,etoposide
P24,0.04,topoisomerase inhibitor,etoposide
